,CBScode,Gemeentenaam
0,GM1680,Aa en Hunze
1,GM0358,Aalsmeer
2,GM0197,Aalten
3,GM0059,Achtkarspelen
4,GM0482,Alblasserdam
5,GM0613,Albrandswaard
6,GM0361,Alkmaar
7,GM0141,Almelo
8,GM0034,Almere
9,GM0484,Alphen aan den Rijn
10,GM1723,Alphen-Chaam
11,GM1959,Altena
12,GM0060,Ameland
13,GM0307,Amersfoort
14,GM0362,Amstelveen
15,GM0363,Amsterdam
16,GM0200,Apeldoorn
17,GM0003,Appingedam
18,GM0202,Arnhem
19,GM0106,Assen
20,GM0743,Asten
21,GM0744,Baarle-Nassau
22,GM0308,Baarn
23,GM0489,Barendrecht
24,GM0203,Barneveld
25,GM0888,Beek (L.)
26,GM1954,Beekdaelen
27,GM0370,Beemster
28,GM0889,Beesel
29,GM1945,Berg en Dal
30,GM1724,Bergeijk
31,GM0893,Bergen (L.)
32,GM0373,Bergen (NH.)
33,GM0748,Bergen op Zoom
34,GM1859,Berkelland
35,GM1721,Bernheze
36,GM0753,Best
37,GM0209,Beuningen
38,GM0375,Beverwijk
39,GM0310,De Bilt
40,GM1728,Bladel
41,GM0376,Blaricum
42,GM0377,Bloemendaal
43,GM1901,Bodegraven-Reeuwijk
44,GM0755,Boekel
45,GM1681,Borger-Odoorn
46,GM0147,Borne
47,GM0654,Borsele
48,GM0756,Boxmeer
49,GM0757,Boxtel
50,GM0758,Breda
51,GM0501,Brielle
52,GM1876,Bronckhorst
53,GM0213,Brummen
54,GM0899,Brunssum
55,GM0312,Bunnik
56,GM0313,Bunschoten
57,GM0214,Buren
58,GM0502,Capelle aan den IJssel
59,GM0383,Castricum
60,GM0109,Coevorden
61,GM1706,Cranendonck
62,GM1684,Cuijk
63,GM0216,Culemborg
64,GM0148,Dalfsen
65,GM1891,Dantumadiel
66,GM0503,Delft
67,GM0010,Delfzijl
68,GM0762,Deurne
69,GM0150,Deventer
70,GM0384,Diemen
71,GM1774,Dinkelland
72,GM0221,Doesburg
73,GM0222,Doetinchem
74,GM0766,Dongen
75,GM0505,Dordrecht
76,GM0498,Drechterland
77,GM1719,Drimmelen
78,GM0303,Dronten
79,GM0225,Druten
80,GM0226,Duiven
81,GM1711,Echt-Susteren
82,GM0385,Edam-Volendam
83,GM0228,Ede
84,GM0317,Eemnes
85,GM0770,Eersel
86,GM1903,Eijsden-Margraten
87,GM0772,Eindhoven
88,GM0230,Elburg
89,GM0114,Emmen
90,GM0388,Enkhuizen
91,GM0153,Enschede
92,GM0232,Epe
93,GM0233,Ermelo
94,GM0777,Etten-Leur
95,GM1940,De Fryske Marren
96,GM0779,Geertruidenberg
97,GM1771,Geldrop-Mierlo
98,GM1652,Gemert-Bakel
99,GM0907,Gennep
100,GM0784,Gilze en Rijen
101,GM1924,Goeree-Overflakkee
102,GM0664,Goes
103,GM0785,Goirle
104,GM1942,Gooise Meren
105,GM0512,Gorinchem
106,GM0513,Gouda
107,GM0786,Grave
108,GM0518,'s-Gravenhage
109,GM0014,Groningen
110,GM1729,Gulpen-Wittem
111,GM0158,Haaksbergen
112,GM0788,Haaren
113,GM0392,Haarlem
114,GM0394,Haarlemmermeer
115,GM1655,Halderberge
116,GM0160,Hardenberg
117,GM0243,Harderwijk
118,GM0523,Hardinxveld-Giessendam
119,GM0072,Harlingen
120,GM0244,Hattem
121,GM0396,Heemskerk
122,GM0397,Heemstede
123,GM0246,Heerde
124,GM0074,Heerenveen
125,GM0398,Heerhugowaard
126,GM0917,Heerlen
127,GM1658,Heeze-Leende
128,GM0399,Heiloo
129,GM0400,Den Helder
130,GM0163,Hellendoorn
131,GM0530,Hellevoetsluis
132,GM0794,Helmond
133,GM0531,Hendrik-Ido-Ambacht
134,GM0164,Hengelo (O.)
135,GM0796,'s-Hertogenbosch
136,GM0252,Heumen
137,GM0797,Heusden
138,GM0534,Hillegom
139,GM0798,Hilvarenbeek
140,GM0402,Hilversum
141,GM1963,Hoeksche Waard
142,GM1735,Hof van Twente
143,GM1966,Het Hogeland
144,GM1911,Hollands Kroon
145,GM0118,Hoogeveen
146,GM0405,Hoorn
147,GM1507,Horst aan de Maas
148,GM0321,Houten
149,GM0406,Huizen
150,GM0677,Hulst
151,GM0353,IJsselstein
152,GM1884,Kaag en Braassem
153,GM0166,Kampen
154,GM0678,Kapelle
155,GM0537,Katwijk
156,GM0928,Kerkrade
157,GM1598,Koggenland
158,GM0542,Krimpen aan den IJssel
159,GM1931,Krimpenerwaard
160,GM1659,Laarbeek
161,GM1685,Landerd
162,GM0882,Landgraaf
163,GM0415,Landsmeer
164,GM0416,Langedijk
165,GM1621,Lansingerland
166,GM0417,Laren (NH.)
167,GM0080,Leeuwarden
168,GM0546,Leiden
169,GM0547,Leiderdorp
170,GM1916,Leidschendam-Voorburg
171,GM0995,Lelystad
172,GM1640,Leudal
173,GM0327,Leusden
