Oud_Code;Oud_Gemeentenaam;Nieuw_Code;Nieuw_Gemeentenaam;Provincie;Veranderjaar;Oud_Gemcode;Nieuw_Gemcode
366;Anna Paulowna;1911;Hollands Kroon;NH.;2012;GM0366;GM1911
412;Niedorp;1911;Hollands Kroon;NH.;2012;GM0412;GM1911
462;Wieringen;1911;Hollands Kroon;NH.;2012;GM0462;GM1911
463;Wieringermeer;1911;Hollands Kroon;NH.;2012;GM0463;GM1911
395;Harenkarspel;441;Schagen;NH;2013;GM0395;GM0441
441;Schagen;441;Schagen;NH;2013;GM0441;GM0441
476;Zijpe;441;Schagen;NH;2013;GM0476;GM0441
504;Dirksland;1924;Goeree-Overflakkee;ZH;2013;GM0504;GM1924
0511 ;Goedereede;1924;Goeree-Overflakkee;ZH ;2013;GM0511 ;GM1924
559;Middelharnis;1924;Goeree-Overflakkee;ZH;2013;GM0559;GM1924
580;Oostflakkee;1924;Goeree-Overflakkee;ZH;2013;GM0580;GM1924
693;Graafstroom;1927;Molenwaard;ZH;2013;GM0693;GM1927
694;Liesveld;1927;Molenwaard;ZH ;2013;GM0694;GM1927
571;Nieuw-Lekkerland;1927;Molenwaard;ZH ;2013;GM0571;GM1927
484;Alphen aan den Rijn;484;Alphen aan den Rijn;ZH;2014;GM0484;GM0484
499;Boskoop;484;Alphen aan den Rijn;ZH;2014;GM0499;GM0484
1672;Rijnwoude;484;Alphen aan den Rijn;ZH;2014;GM1672;GM0484
653;Gaasterlân-Sleat;1921;De Friese Meren;F;2014;GM0653;GM1921
0082 ;Lemsterland;1921;De Friese Meren;F;2014;GM0082 ;GM1921
51;Skasterlân;1921;De Friese Meren;F;2014;GM0051;GM1921
55;Boarnsterhim;1921;De Friese Meren;F;2014;GM0055;GM1921
80;Leeuwarden;80;Leeuwarden;F;2014;GM0080;GM0080
74;Heerenveen;74;Heerenveen;F;2014;GM0074;GM0074
361;Alkmaar;361;Alkmaar;NH;2015;GM0361;GM0361
365;Graft-De Rijp;361;Alkmaar;NH;2015;GM0365;GM0361
458;Schermer;361;Alkmaar;NH;2015;GM0458;GM0361
241;Groesbeek;241;Groesbeek;Gld;2015;GM0241;GM0241
0265 ;Millingen aan de Rijn;241;Groesbeek;Gld;2015;GM0265 ;GM0241
282;Ubbergen;241;Groesbeek;Gld;2015;GM0282;GM0241
568;Bernisse;1930;Nissewaard;ZH;2015;GM0568;GM1930
612;Spijkenisse;1930;Nissewaard;ZH;2015;GM0612;GM1930
491;Bergambacht;1931;Krimpenerwaard;ZH;2015;GM0491;GM1931
643;Nederlek;1931;Krimpenerwaard;ZH;2015;GM0643;GM1931
644;Ouderkerk;1931;Krimpenerwaard;ZH;2015;GM0644;GM1931
608;Schoonhoven;1931;Krimpenerwaard;ZH;2015;GM0608;GM1931
623;Vlist;1931;Krimpenerwaard;ZH;2015;GM0623;GM1931
796;'s-Hertogenbosch;796;'s-Hertogenbosch;NB;2015;GM0796;GM0796
828;Oss;828;Oss;NB;2015;GM0828;GM0828
1671;Maasdonk;796;'s-Hertogenbosch;NB;2015;GM1671;GM0796
1921;De Friese Meren;1940;De Fryske Marren;F;2016;GM1921;GM1940
241;Groesbeek;1945;Berg en Dal;Gld;2016;GM0241;GM1945
381;Bussum;1942;Gooise Meren;NH;2016;GM0381;GM1942
424;Muiden;1942;Gooise Meren;NH;2016;GM0424;GM1942
425;Naarden;1942;Gooise Meren;NH;2016;GM0425;GM1942
385;Edam-Volendam;385;Edam-Volendam;NH;2016;GM0385;GM0385
478;Zeevang;385;Edam-Volendam;NH;2016;GM0478;GM0385
0844;Schijndel;1948;Meierijstad;NB;2017;GM0844;GM1948
0846           ;Sint-Oedenrode;1948;Meierijstad;NB;2017;GM0846           ;GM1948
0860           ;Veghel;1948;Meierijstad;NB;2017;GM0860           ;GM1948
 0018;Hoogezand-Sappemeer;1952 ;Midden-Groningen; Gr;2018;GM 0018;GM1952 
 0040;Slochteren;1952 ;Midden-Groningen; Gr;2018;GM 0040;GM1952 
 0048;Vlagtwedde;1950;Westerwolde; Gr;2018;GM 0048;GM1950
 0063;het Bildt;1949;Waadhoeke; F;2018;GM 0063;GM1949
 0070;Franekeradeel;1949;Waadhoeke; F;2018;GM 0070;GM1949
 0080;Leeuwarden;0080;Leeuwarden; F;2018;GM 0080;GM0080
 0081;Leeuwarderadeel;0080;Leeuwarden; F;2018;GM 0081;GM0080
